,Date,Prediction,Actual,Signal,Current
0,2018-10-18,2806.2427254348145,2809.209961,0,1000
1,2018-10-19,2765.826658190445,2768.780029,0,1000
2,2018-10-22,2764.8233751666107,2767.780029,0,1000
3,2018-10-23,2752.948895641907,2755.879883,0,1000
4,2018-10-24,2737.7575450649415,2740.689941,0,1000
5,2018-10-25,2653.1980825523833,2656.100098,0,1000
6,2018-10-26,2702.6662999374084,2705.570068,0,1000
7,2018-10-29,2655.856849979416,2658.689941,0,1000
8,2018-10-30,2638.3848092556,2641.25,0,1000
9,2018-10-31,2679.807972618683,2682.629883,0,1000
10,2018-11-01,2708.890849117508,2711.73999,0,1000
11,2018-11-02,2737.539266637222,2740.370117,0,1000
12,2018-11-05,2720.1788074264373,2723.060059,0,1000
13,2018-11-06,2735.394833017334,2738.310059,0,1000
14,2018-11-07,2752.5498099992524,2755.449951,0,1000
15,2018-11-08,2811.0124568389588,2813.889893,0,1000
16,2018-11-09,2803.917325610092,2806.830078,0,1000
17,2018-11-12,2778.1050772626495,2781.01001,0,1000
18,2018-11-13,2723.2918453801117,2726.219971,0,1000
19,2018-11-14,2719.247413994629,2722.179932,0,1000
20,2018-11-15,2698.682099932602,2701.580078,0,1000
21,2018-11-16,2727.3165252874146,2730.199951,0,1000
22,2018-11-19,2733.3406963267516,2736.27002,0,1000
23,2018-11-20,2687.7981052479554,2690.72998,0,1000
24,2018-11-21,2638.944930021637,2641.889893,0,1000
25,2018-11-23,2647.0121992843933,2649.929932,0,1000
26,2018-11-26,2629.6126779804076,2632.560059,0,1000
27,2018-11-27,2670.50556475618,2673.449951,0,1000
28,2018-11-28,2679.2197457609864,2682.169922,0,1000
29,2018-11-29,2740.8542267651214,2743.790039,0,1000
30,2018-11-30,2734.8689507772674,2737.800049,0,1000
31,2018-12-03,2757.222230320999,2760.169922,0,1000
32,2018-12-04,2787.445474198715,2790.370117,0,1000
33,2018-12-06,2697.140340972885,2700.060059,0,1000
34,2018-12-07,2693.0595374772797,2695.949951,0,1000
35,2018-12-10,2606.2027701081543,2633.080078,0,1000
36,2018-12-11,2595.018657981201,2637.719971,0,1000
37,2018-12-12,2585.0423695456543,2636.780029,0,1000
38,2018-12-13,2594.391990302246,2651.070068,0,1000
39,2018-12-14,2591.1829413742676,2650.540039,0,1000
40,2018-12-17,2539.133083171631,2599.949951,0,1000
41,2018-12-18,2484.3184085598145,2545.939941,0,1000
42,2018-12-19,2484.088203320801,2546.159912,0,1000
43,2018-12-20,2444.6323319106446,2506.959961,0,1000
44,2018-12-21,2404.944450503418,2467.419922,0,1000
45,2018-12-24,2354.0579107316894,2416.620117,0,1000
46,2018-12-26,2288.4862063984374,2351.100098,0,1000
47,2018-12-27,2405.0507581899415,2467.699951,0,1000
48,2018-12-28,2425.935550564697,2488.830078,0,1000
49,2018-12-31,2415.48470282959,2485.73999,0,1000
50,2019-01-02,2421.1509173969725,2506.850098,0,1000
51,2019-01-03,2418.4287335288086,2510.030029,0,1000
52,2019-01-04,2354.322296564453,2447.889893,0,1000
53,2019-01-07,2437.68717915918,2531.939941,0,1000
54,2019-01-08,2455.1880107631837,2549.689941,0,1000
55,2019-01-09,2479.815055737793,2574.409912,0,1000
56,2019-01-10,2490.3301010756836,2584.959961,0,1000
57,2019-01-11,2501.9968189643555,2596.639893,0,1000
58,2019-01-14,2501.6117784936523,2596.26001,0,1000
59,2019-01-15,2487.958640630371,2582.610107,0,1000
60,2019-01-16,2515.6377183725585,2610.300049,0,1000
61,2019-01-17,2521.36262546582,2616.100098,0,1000
62,2019-01-18,2540.6766892104492,2635.959961,0,1000
63,2019-01-22,2571.770034852539,2670.709961,0,1000
64,2019-01-23,2518.7348705668946,2632.899902,0,1000
65,2019-01-24,2524.5349195668946,2638.699951,0,1000
66,2019-01-25,2528.1650465668945,2642.330078,0,1000
67,2019-01-28,2550.5949785668945,2664.76001,0,1000
68,2019-01-29,2529.6850665668944,2643.850098,0,1000
69,2019-01-30,2525.8349685668945,2640.0,0,1000
70,2019-01-31,2566.8850175668945,2681.050049,0,1000
71,2019-02-01,2589.9350665668944,2704.100098,0,1000
72,2019-02-04,2592.3649975668945,2706.530029,0,1000
73,2019-02-05,2610.7050855668945,2724.870117,0,1000
74,2019-02-06,2623.5349195668946,2737.699951,0,1000
75,2019-02-07,2617.4450755668945,2731.610107,0,1000
76,2019-02-08,2591.8850175668945,2706.050049,0,1000
77,2019-02-11,2593.7148515668946,2707.879883,0,1000
78,2019-02-12,2595.6350175668945,2709.800049,0,1000
79,2019-02-13,2630.5649485668946,2744.72998,0,1000
80,2019-02-14,2638.8649975668945,2753.030029,0,1000
81,2019-02-15,2631.5649485668946,2745.72998,0,1000
82,2019-02-19,2661.4350665668944,2775.600098,0,1000
83,2019-02-20,2665.5949785668945,2779.76001,0,1000
84,2019-02-21,2670.5349195668946,2784.699951,0,1000
85,2019-02-22,2660.7148515668946,2774.879883,0,1000
86,2019-02-25,2678.5048905668946,2792.669922,0,1000
87,2019-02-26,2681.9450755668945,2796.110107,0,1000
88,2019-02-27,2679.7348705668946,2793.899902,0,1000
89,2019-02-28,2678.2148515668946,2792.379883,0,1000
90,2019-03-01,2670.3249585668946,2784.48999,0,1000
91,2019-03-04,2689.5249095668946,2803.689941,0,1000
92,2019-03-05,2678.6450275668944,2792.810059,0,1000
93,2019-03-06,2675.4848705668946,2789.649902,0,1000
94,2019-03-07,2657.2849195668946,2771.449951,0,1000
95,2019-03-08,2634.7649005668945,2748.929932,0,1000
